condition,voltage_uv
eyes_closed,-4.27
eyes_closed,-8.24
eyes_closed,-12.51
eyes_closed,-15.87
eyes_closed,-17.7
eyes_closed,-18.15
eyes_closed,-17.7
eyes_closed,-17.09
eyes_closed,-16.93
eyes_closed,-18.0
eyes_closed,-19.99
eyes_closed,-22.12
eyes_closed,-23.65
eyes_closed,-23.65
eyes_closed,-21.97
eyes_closed,-18.61
eyes_closed,-14.49
eyes_closed,-10.22
eyes_closed,-6.56
eyes_closed,-4.42
eyes_closed,-3.66
eyes_closed,-4.27
eyes_closed,-5.95
eyes_closed,-8.08
eyes_closed,-10.37
eyes_closed,-12.05
eyes_closed,-12.97
eyes_closed,-12.66
eyes_closed,-11.9
eyes_closed,-10.53
eyes_closed,-9.61
eyes_closed,-9.15
eyes_closed,-9.46
eyes_closed,-9.91
eyes_closed,-9.61
eyes_closed,-7.63
eyes_closed,-3.35
eyes_closed,3.51
eyes_closed,11.91
eyes_closed,20.45
eyes_closed,27.47
eyes_closed,32.05
eyes_closed,33.73
eyes_closed,33.57
eyes_closed,32.66
eyes_closed,32.35
eyes_closed,33.73
eyes_closed,36.32
eyes_closed,39.22
eyes_closed,41.05
eyes_closed,40.74
eyes_closed,38.0
eyes_closed,33.57
eyes_closed,28.54
eyes_closed,24.42
eyes_closed,21.98
eyes_closed,21.37
eyes_closed,21.98
eyes_closed,22.59
eyes_closed,22.28
eyes_closed,20.6
eyes_closed,17.4
eyes_closed,13.43
eyes_closed,9.46
eyes_closed,6.11
eyes_closed,3.51
eyes_closed,1.22
eyes_closed,-1.06
eyes_closed,-3.51
eyes_closed,-6.41
eyes_closed,-9.46
eyes_closed,-12.2
eyes_closed,-14.03
eyes_closed,-14.95
eyes_closed,-14.95
eyes_closed,-14.03
eyes_closed,-12.97
eyes_closed,-11.59
eyes_closed,-10.53
eyes_closed,-9.61
eyes_closed,-9.3
eyes_closed,-9.3
eyes_closed,-9.91
eyes_closed,-10.37
eyes_closed,-10.53
eyes_closed,-10.07
eyes_closed,-8.69
eyes_closed,-6.56
eyes_closed,-3.81
eyes_closed,-0.91
eyes_closed,1.83
eyes_closed,4.43
eyes_closed,6.87
eyes_closed,9.77
eyes_closed,13.28
eyes_closed,17.55
eyes_closed,22.13
eyes_closed,26.4
eyes_closed,29.3
eyes_closed,30.52
eyes_closed,29.91
eyes_closed,27.93
eyes_closed,25.64
eyes_closed,24.11
eyes_closed,23.81
eyes_closed,24.88
eyes_closed,26.71
eyes_closed,28.38
eyes_closed,29.0
eyes_closed,28.08
eyes_closed,25.94
eyes_closed,22.89
eyes_closed,19.84
eyes_closed,17.09
eyes_closed,14.96
eyes_closed,13.58
eyes_closed,12.67
eyes_closed,11.91
eyes_closed,11.6
eyes_closed,11.75
eyes_closed,12.36
eyes_closed,12.82
eyes_closed,13.13
eyes_closed,12.06
eyes_closed,9.31
eyes_closed,5.04
eyes_closed,-0.61
eyes_closed,-6.25
eyes_closed,-10.68
eyes_closed,-13.42
eyes_closed,-14.19
eyes_closed,-13.73
eyes_closed,-13.42
eyes_closed,-14.64
eyes_closed,-17.7
eyes_closed,-23.04
eyes_closed,-29.45
eyes_closed,-35.85
eyes_closed,-40.74
eyes_closed,-42.87
eyes_closed,-42.57
eyes_closed,-40.13
eyes_closed,-36.46
eyes_closed,-32.19
eyes_closed,-28.53
eyes_closed,-25.33
eyes_closed,-22.73
eyes_closed,-20.44
eyes_closed,-18.15
eyes_closed,-15.56
eyes_closed,-12.66
eyes_closed,-9.15
eyes_closed,-5.18
eyes_closed,-0.61
eyes_closed,3.97
eyes_closed,8.4
eyes_closed,12.06
eyes_closed,14.5
eyes_closed,15.72
eyes_closed,15.72
eyes_closed,15.11
eyes_closed,14.35
eyes_closed,13.89
eyes_closed,13.89
eyes_closed,14.19
eyes_closed,14.8
eyes_closed,15.11
eyes_closed,15.11
eyes_closed,15.11
eyes_closed,15.11
eyes_closed,15.26
eyes_closed,15.26
eyes_closed,14.96
eyes_closed,14.19
eyes_closed,12.52
eyes_closed,10.23
eyes_closed,7.48
eyes_closed,5.19
eyes_closed,3.82
eyes_closed,3.06
eyes_closed,2.9
eyes_closed,2.14
eyes_closed,0.16
eyes_closed,-3.96
eyes_closed,-10.07
eyes_closed,-17.24
eyes_closed,-25.02
eyes_closed,-31.73
eyes_closed,-36.62
eyes_closed,-39.52
eyes_closed,-40.74
eyes_closed,-40.89
eyes_closed,-40.89
eyes_closed,-41.35
eyes_closed,-42.26
eyes_closed,-43.94
eyes_closed,-45.01
eyes_closed,-45.16
eyes_closed,-43.33
eyes_closed,-39.21
eyes_closed,-32.96
eyes_closed,-24.56
eyes_closed,-14.95
eyes_closed,-5.49
eyes_closed,3.21
eyes_closed,10.07
eyes_closed,14.65
eyes_closed,16.94
eyes_closed,17.7
eyes_closed,17.09
eyes_closed,16.48
eyes_closed,16.18
eyes_closed,16.48
eyes_closed,17.25
eyes_closed,18.16
eyes_closed,18.77
eyes_closed,18.62
eyes_closed,17.7
eyes_closed,16.33
eyes_closed,15.41
eyes_closed,15.11
eyes_closed,16.33
eyes_closed,18.77
eyes_closed,22.13
eyes_closed,25.94
eyes_closed,29.61
eyes_closed,32.35
eyes_closed,34.03
eyes_closed,34.64
eyes_closed,34.64
eyes_closed,33.88
eyes_closed,33.12
eyes_closed,32.05
eyes_closed,30.52
eyes_closed,28.54
eyes_closed,25.94
eyes_closed,23.04
eyes_closed,19.99
eyes_closed,16.94
eyes_closed,14.35
eyes_closed,11.91
eyes_closed,8.85
eyes_closed,5.19
eyes_closed,0.16
eyes_closed,-5.79
eyes_closed,-12.51
eyes_closed,-18.76
eyes_closed,-23.5
eyes_closed,-25.94
eyes_closed,-25.63
eyes_closed,-23.04
eyes_closed,-18.76
eyes_closed,-14.19
eyes_closed,-10.22
eyes_closed,-8.08
eyes_closed,-8.08
eyes_closed,-9.61
eyes_closed,-12.81
eyes_closed,-16.48
eyes_closed,-19.99
eyes_closed,-22.43
eyes_closed,-23.65
eyes_closed,-23.5
eyes_closed,-22.27
eyes_closed,-20.29
eyes_closed,-18.31
eyes_closed,-16.78
eyes_closed,-15.41
eyes_closed,-14.49
eyes_closed,-13.73
eyes_closed,-12.66
eyes_closed,-11.14
eyes_closed,-9.0
eyes_closed,-6.71
eyes_closed,-4.57
eyes_closed,-2.9
eyes_closed,-1.83
eyes_closed,-0.76
eyes_closed,0.31
eyes_closed,1.53
eyes_closed,3.21
eyes_closed,4.89
eyes_closed,6.26
eyes_closed,6.41
eyes_closed,5.8
eyes_closed,4.28
eyes_closed,2.14
eyes_closed,0.16
eyes_closed,-1.22
eyes_closed,-1.67
eyes_closed,-1.22
eyes_closed,-0.15
eyes_closed,1.07
eyes_closed,2.29
eyes_closed,3.21
eyes_closed,3.51
eyes_closed,3.36
eyes_closed,2.44
eyes_closed,0.31
eyes_closed,-2.9
eyes_closed,-7.17
eyes_closed,-12.05
eyes_closed,-16.93
eyes_closed,-21.21
eyes_closed,-24.56
eyes_closed,-26.7
eyes_closed,-28.23
eyes_closed,-29.29
eyes_closed,-30.51
eyes_closed,-32.04
eyes_closed,-33.41
eyes_closed,-34.63
eyes_closed,-35.09
eyes_closed,-34.18
eyes_closed,-32.5
eyes_closed,-29.9
eyes_closed,-27.61
eyes_closed,-25.63
eyes_closed,-24.56
eyes_closed,-23.95
eyes_closed,-23.5
eyes_closed,-22.43
eyes_closed,-20.6
eyes_closed,-17.7
eyes_closed,-14.64
eyes_closed,-11.75
eyes_closed,-9.91
eyes_closed,-9.91
eyes_closed,-11.29
eyes_closed,-13.27
eyes_closed,-15.1
eyes_closed,-14.95
eyes_closed,-12.51
eyes_closed,-7.47
eyes_closed,-0.61
eyes_closed,7.02
eyes_closed,13.74
eyes_closed,18.31
eyes_closed,19.84
eyes_closed,18.77
eyes_closed,15.87
eyes_closed,12.97
eyes_closed,11.14
eyes_closed,11.45
eyes_closed,13.43
eyes_closed,16.94
eyes_closed,20.3
eyes_closed,22.43
eyes_closed,22.89
eyes_closed,21.82
eyes_closed,19.69
eyes_closed,17.55
eyes_closed,16.79
eyes_closed,16.94
eyes_closed,18.31
eyes_closed,19.99
eyes_closed,20.76
eyes_closed,20.15
eyes_closed,18.01
eyes_closed,14.8
eyes_closed,11.6
eyes_closed,9.01
eyes_closed,8.24
eyes_closed,8.85
eyes_closed,10.07
eyes_closed,11.6
eyes_closed,12.06
eyes_closed,10.99
eyes_closed,8.4
eyes_closed,4.89
eyes_closed,1.53
eyes_closed,-0.61
eyes_closed,-0.91
eyes_closed,1.22
eyes_closed,5.19
eyes_closed,10.38
eyes_closed,15.41
eyes_closed,19.69
eyes_closed,22.13
eyes_closed,23.04
eyes_closed,22.74
eyes_closed,21.82
eyes_closed,21.37
eyes_closed,21.67
eyes_closed,22.89
eyes_closed,24.72
eyes_closed,26.25
eyes_closed,27.16
eyes_closed,27.01
eyes_closed,25.94
eyes_closed,24.26
eyes_closed,22.59
eyes_closed,21.37
eyes_closed,20.6
eyes_closed,20.3
eyes_closed,19.84
eyes_closed,19.08
eyes_closed,17.25
eyes_closed,15.11
eyes_closed,13.13
eyes_closed,11.75
eyes_closed,11.29
eyes_closed,11.91
eyes_closed,12.97
eyes_closed,14.35
eyes_closed,14.8
eyes_closed,14.8
eyes_closed,13.74
eyes_closed,12.36
eyes_closed,10.68
eyes_closed,9.16
eyes_closed,7.63
eyes_closed,6.26
eyes_closed,4.58
eyes_closed,2.29
eyes_closed,-0.3
eyes_closed,-3.35
eyes_closed,-6.56
eyes_closed,-9.76
eyes_closed,-13.12
eyes_closed,-16.02
eyes_closed,-18.92
eyes_closed,-21.36
eyes_closed,-23.19
eyes_closed,-24.26
eyes_closed,-24.72
eyes_closed,-24.56
eyes_closed,-24.26
eyes_closed,-24.11
eyes_closed,-24.41
eyes_closed,-25.17
eyes_closed,-25.94
eyes_closed,-26.39
eyes_closed,-26.39
eyes_closed,-25.63
eyes_closed,-24.26
eyes_closed,-22.88
eyes_closed,-21.82
eyes_closed,-21.05
eyes_closed,-20.6
eyes_closed,-19.83
eyes_closed,-18.15
eyes_closed,-15.41
eyes_closed,-11.29
eyes_closed,-6.41
eyes_closed,-1.52
eyes_closed,2.75
eyes_closed,5.95
eyes_closed,7.94
eyes_closed,9.16
eyes_closed,10.23
eyes_closed,11.14
eyes_closed,12.36
eyes_closed,13.28
eyes_closed,13.89
eyes_closed,13.74
eyes_closed,12.97
eyes_closed,12.06
eyes_closed,11.6
eyes_closed,12.21
eyes_closed,14.19
eyes_closed,17.09
eyes_closed,19.99
eyes_closed,22.13
eyes_closed,22.13
eyes_closed,20.15
eyes_closed,16.33
eyes_closed,11.91
eyes_closed,8.09
eyes_closed,5.8
eyes_closed,4.89
eyes_closed,5.19
eyes_closed,5.8
eyes_closed,5.04
eyes_closed,2.44
eyes_closed,-2.13
eyes_closed,-7.63
eyes_closed,-12.97
eyes_closed,-16.78
eyes_closed,-18.46
eyes_closed,-17.7
eyes_closed,-15.87
eyes_closed,-13.58
eyes_closed,-12.2
eyes_closed,-12.81
eyes_closed,-14.8
eyes_closed,-18.15
eyes_closed,-21.66
eyes_closed,-24.72
eyes_closed,-27.0
eyes_closed,-28.23
eyes_closed,-28.84
eyes_closed,-28.84
eyes_closed,-27.77
eyes_closed,-26.09
eyes_closed,-23.5
eyes_closed,-19.99
eyes_closed,-16.17
eyes_closed,-12.81
eyes_closed,-9.91
eyes_closed,-8.08
eyes_closed,-7.02
eyes_closed,-5.95
eyes_closed,-4.27
eyes_closed,-1.37
eyes_closed,2.44
eyes_closed,7.02
eyes_closed,11.29
eyes_closed,14.35
eyes_closed,16.33
eyes_closed,17.25
eyes_closed,17.4
eyes_closed,17.86
eyes_closed,18.47
eyes_closed,19.23
eyes_closed,19.69
eyes_closed,19.23
eyes_closed,17.4
eyes_closed,14.65
eyes_closed,11.6
eyes_closed,9.16
eyes_closed,7.94
eyes_closed,7.48
eyes_closed,7.63
eyes_closed,7.33
eyes_closed,5.19
eyes_closed,1.38
eyes_closed,-4.27
eyes_closed,-10.68
eyes_closed,-16.17
eyes_closed,-20.29
eyes_closed,-21.82
eyes_closed,-21.21
eyes_closed,-19.07
eyes_closed,-16.48
eyes_closed,-14.49
eyes_closed,-13.88
eyes_closed,-14.64
eyes_closed,-16.63
eyes_closed,-19.22
eyes_closed,-21.82
eyes_closed,-23.95
eyes_closed,-25.78
eyes_closed,-27.0
eyes_closed,-28.23
eyes_closed,-29.45
eyes_closed,-30.67
eyes_closed,-31.89
eyes_closed,-32.19
eyes_closed,-31.89
eyes_closed,-30.21
eyes_closed,-27.31
eyes_closed,-23.65
eyes_closed,-19.53
eyes_closed,-15.71
eyes_closed,-12.81
eyes_closed,-10.53
eyes_closed,-9.0
eyes_closed,-7.47
eyes_closed,-5.64
eyes_closed,-3.05
eyes_closed,0.46
eyes_closed,4.28
eyes_closed,8.09
eyes_closed,11.29
eyes_closed,13.28
eyes_closed,14.35
eyes_closed,14.5
eyes_closed,14.04
eyes_closed,13.74
eyes_closed,13.58
eyes_closed,13.89
eyes_closed,14.5
eyes_closed,15.57
eyes_closed,16.48
eyes_closed,17.4
eyes_closed,18.31
eyes_closed,18.92
eyes_closed,19.08
eyes_closed,18.62
eyes_closed,17.55
eyes_closed,15.72
eyes_closed,12.97
eyes_closed,9.77
eyes_closed,6.11
eyes_closed,2.44
eyes_closed,-0.91
eyes_closed,-3.96
eyes_closed,-6.56
eyes_closed,-8.69
eyes_closed,-10.37
eyes_closed,-11.75
eyes_closed,-12.81
eyes_closed,-13.73
eyes_closed,-14.03
eyes_closed,-14.19
eyes_closed,-13.88
eyes_closed,-13.42
eyes_closed,-12.66
eyes_closed,-11.75
eyes_closed,-10.68
eyes_closed,-9.61
eyes_closed,-8.54
eyes_closed,-7.78
eyes_closed,-7.63
eyes_closed,-7.78
eyes_closed,-8.54
eyes_closed,-9.3
eyes_closed,-9.76
eyes_closed,-9.61
eyes_closed,-8.39
eyes_closed,-6.25
eyes_closed,-3.35
eyes_closed,0.16
eyes_closed,3.51
eyes_closed,6.41
eyes_closed,8.7
eyes_closed,10.23
eyes_closed,11.29
eyes_closed,11.91
eyes_closed,12.21
eyes_closed,12.36
eyes_closed,12.21
eyes_closed,12.36
eyes_closed,12.52
eyes_closed,13.58
eyes_closed,15.26
eyes_closed,17.7
eyes_closed,20.45
eyes_closed,22.59
eyes_closed,23.35
eyes_closed,22.43
eyes_closed,20.15
eyes_closed,17.4
eyes_closed,15.57
eyes_closed,15.41
eyes_closed,17.4
eyes_closed,21.21
eyes_closed,25.33
eyes_closed,28.08
eyes_closed,28.38
eyes_closed,25.64
eyes_closed,20.6
eyes_closed,14.35
eyes_closed,9.01
eyes_closed,5.19
eyes_closed,3.82
eyes_closed,4.58
eyes_closed,6.26
eyes_closed,7.79
eyes_closed,8.09
eyes_closed,7.18
eyes_closed,4.89
eyes_closed,1.68
eyes_closed,-1.67
eyes_closed,-4.73
eyes_closed,-7.32
eyes_closed,-9.3
eyes_closed,-10.53
eyes_closed,-10.68
eyes_closed,-10.22
eyes_closed,-8.85
eyes_closed,-7.47
eyes_closed,-6.41
eyes_closed,-5.95
eyes_closed,-6.56
eyes_closed,-7.93
eyes_closed,-9.46
eyes_closed,-10.53
eyes_closed,-11.14
eyes_closed,-10.53
eyes_closed,-9.61
eyes_closed,-8.39
eyes_closed,-7.47
eyes_closed,-6.86
eyes_closed,-6.25
eyes_closed,-5.18
eyes_closed,-3.66
eyes_closed,-1.52
eyes_closed,0.92
eyes_closed,3.06
eyes_closed,4.73
eyes_closed,5.65
eyes_closed,6.26
eyes_closed,6.87
eyes_closed,8.55
eyes_closed,11.29
eyes_closed,14.96
eyes_closed,18.77
eyes_closed,21.52
eyes_closed,22.89
eyes_closed,22.13
eyes_closed,19.53
eyes_closed,16.03
eyes_closed,12.67
eyes_closed,9.62
eyes_closed,7.63
eyes_closed,6.26
eyes_closed,5.34
eyes_closed,4.12
eyes_closed,2.44
eyes_closed,0.46
eyes_closed,-1.22
eyes_closed,-2.13
eyes_closed,-2.29
eyes_closed,-1.83
eyes_closed,-1.22
eyes_closed,-1.22
eyes_closed,-2.29
eyes_closed,-4.57
eyes_closed,-8.08
eyes_closed,-11.75
eyes_closed,-15.56
eyes_closed,-18.46
eyes_closed,-20.29
eyes_closed,-21.36
eyes_closed,-21.21
eyes_closed,-20.14
eyes_closed,-18.61
eyes_closed,-16.63
eyes_closed,-14.64
eyes_closed,-12.81
eyes_closed,-11.59
eyes_closed,-11.75
eyes_closed,-12.97
eyes_closed,-15.1
eyes_closed,-17.24
eyes_closed,-18.92
eyes_closed,-19.22
eyes_closed,-18.15
eyes_closed,-15.71
eyes_closed,-12.97
eyes_closed,-10.22
eyes_closed,-8.39
eyes_closed,-7.17
eyes_closed,-6.56
eyes_closed,-6.1
eyes_closed,-5.18
eyes_closed,-3.66
eyes_closed,-1.98
eyes_closed,-0.61
eyes_closed,0.16
eyes_closed,0.16
eyes_closed,-0.3
eyes_closed,-0.76
eyes_closed,-0.61
eyes_closed,0.16
eyes_closed,1.68
eyes_closed,3.51
eyes_closed,5.19
eyes_closed,6.41
eyes_closed,7.02
eyes_closed,7.48
eyes_closed,8.24
eyes_closed,9.01
eyes_closed,10.23
eyes_closed,11.29
eyes_closed,11.75
eyes_closed,11.45
eyes_closed,10.23
eyes_closed,8.85
eyes_closed,7.18
eyes_closed,6.11
eyes_closed,5.5
eyes_closed,5.04
eyes_closed,4.43
eyes_closed,3.36
eyes_closed,1.68
eyes_closed,-0.61
eyes_closed,-3.35
eyes_closed,-6.25
eyes_closed,-9.0
eyes_closed,-11.59
eyes_closed,-14.64
eyes_closed,-17.54
eyes_closed,-20.44
eyes_closed,-23.19
eyes_closed,-24.87
eyes_closed,-25.02
eyes_closed,-23.5
eyes_closed,-20.75
eyes_closed,-17.09
eyes_closed,-13.42
eyes_closed,-10.68
eyes_closed,-9.46
eyes_closed,-9.46
eyes_closed,-10.53
eyes_closed,-12.05
eyes_closed,-13.12
eyes_closed,-13.58
eyes_closed,-12.66
eyes_closed,-11.14
eyes_closed,-9.0
eyes_closed,-7.02
eyes_closed,-5.79
eyes_closed,-5.18
eyes_closed,-5.64
eyes_closed,-6.25
eyes_closed,-6.71
eyes_closed,-6.1
eyes_closed,-4.57
eyes_closed,-1.98
eyes_closed,0.92
eyes_closed,3.51
eyes_closed,5.19
eyes_closed,5.5
eyes_closed,5.04
eyes_closed,3.97
eyes_closed,3.51
eyes_closed,4.28
eyes_closed,6.26
eyes_closed,8.85
eyes_closed,11.14
eyes_closed,12.52
eyes_closed,12.06
eyes_closed,10.07
eyes_closed,6.72
eyes_closed,3.21
eyes_closed,0.46
eyes_closed,-0.76
eyes_closed,-0.3
eyes_closed,1.53
eyes_closed,3.97
eyes_closed,6.26
eyes_closed,7.63
eyes_closed,7.94
eyes_closed,7.02
eyes_closed,5.34
eyes_closed,3.06
eyes_closed,0.77
eyes_closed,-1.37
eyes_closed,-3.05
eyes_closed,-4.42
eyes_closed,-5.49
eyes_closed,-6.56
eyes_closed,-8.08
eyes_closed,-10.37
eyes_closed,-13.12
eyes_closed,-16.78
eyes_closed,-20.6
eyes_closed,-24.41
eyes_closed,-27.46
eyes_closed,-29.29
eyes_closed,-29.9
eyes_closed,-28.99
eyes_closed,-27.0
eyes_closed,-24.56
eyes_closed,-22.12
eyes_closed,-19.68
eyes_closed,-17.85
eyes_closed,-16.02
eyes_closed,-14.34
eyes_closed,-12.66
eyes_closed,-10.98
eyes_closed,-9.46
eyes_closed,-7.78
eyes_closed,-6.1
eyes_closed,-4.42
eyes_closed,-2.13
eyes_closed,0.16
eyes_closed,2.75
eyes_closed,5.5
eyes_closed,7.94
eyes_closed,10.23
eyes_closed,12.36
eyes_closed,14.04
eyes_closed,15.72
eyes_closed,17.55
eyes_closed,19.23
eyes_closed,20.76
eyes_closed,22.28
eyes_closed,23.5
eyes_closed,24.11
eyes_closed,24.42
eyes_closed,24.57
eyes_closed,24.88
eyes_closed,25.33
eyes_closed,25.94
eyes_closed,26.4
eyes_closed,26.55
eyes_closed,25.64
eyes_closed,23.5
eyes_closed,20.45
eyes_closed,16.79
eyes_closed,13.58
eyes_closed,11.14
eyes_closed,10.53
eyes_closed,10.99
eyes_closed,12.67
eyes_closed,14.19
eyes_closed,15.11
eyes_closed,14.8
eyes_closed,13.43
eyes_closed,11.75
eyes_closed,10.07
eyes_closed,9.62
eyes_closed,10.23
eyes_closed,11.29
eyes_closed,12.67
eyes_closed,12.97
eyes_closed,11.91
eyes_closed,9.31
eyes_closed,5.8
eyes_closed,1.99
eyes_closed,-1.37
eyes_closed,-3.66
eyes_closed,-5.18
eyes_closed,-6.41
eyes_closed,-7.93
eyes_closed,-9.61
eyes_closed,-11.44
eyes_closed,-13.12
eyes_closed,-13.42
eyes_closed,-12.36
eyes_closed,-9.46
eyes_closed,-5.79
eyes_closed,-1.83
eyes_closed,0.92
eyes_closed,2.29
eyes_closed,2.14
eyes_closed,0.77
eyes_closed,-0.61
eyes_closed,-1.52
eyes_closed,-1.67
eyes_closed,-0.45
eyes_closed,1.22
eyes_closed,3.51
eyes_closed,5.65
eyes_closed,8.09
eyes_closed,10.68
eyes_closed,13.13
eyes_closed,16.03
eyes_closed,18.62
eyes_closed,21.06
eyes_closed,23.2
eyes_closed,24.57
eyes_closed,25.33
eyes_closed,25.64
eyes_closed,25.33
eyes_closed,24.57
eyes_closed,23.5
eyes_closed,21.98
eyes_closed,20.6
eyes_closed,19.38
eyes_closed,18.62
eyes_closed,18.47
eyes_closed,18.77
eyes_closed,19.08
eyes_closed,18.77
eyes_closed,17.25
eyes_closed,14.65
eyes_closed,11.6
eyes_closed,8.55
eyes_closed,6.56
eyes_closed,5.8
eyes_closed,6.26
eyes_closed,7.63
eyes_closed,8.85
eyes_closed,9.46
eyes_closed,9.31
eyes_closed,8.55
eyes_closed,7.48
eyes_closed,7.02
eyes_closed,7.48
eyes_closed,8.4
eyes_closed,9.31
eyes_closed,9.77
eyes_closed,8.85
eyes_closed,6.87
eyes_closed,3.97
eyes_closed,0.46
eyes_closed,-2.74
eyes_closed,-5.18
eyes_closed,-7.17
eyes_closed,-8.39
eyes_closed,-8.85
eyes_closed,-8.69
eyes_closed,-7.93
eyes_closed,-6.41
eyes_closed,-3.96
eyes_closed,-1.22
eyes_closed,1.68
eyes_closed,4.43
eyes_closed,6.56
eyes_closed,8.09
eyes_closed,9.16
eyes_closed,9.92
eyes_closed,10.53
eyes_closed,10.99
eyes_closed,11.14
eyes_closed,10.99
eyes_closed,10.38
eyes_closed,9.62
eyes_closed,9.01
eyes_closed,8.85
eyes_closed,9.62
eyes_closed,10.84
eyes_closed,12.21
eyes_closed,13.43
eyes_closed,13.74
eyes_closed,13.58
eyes_closed,12.82
eyes_closed,12.36
eyes_closed,12.36
eyes_closed,12.82
eyes_closed,13.58
eyes_closed,13.58
eyes_closed,12.97
eyes_closed,10.99
eyes_closed,8.24
eyes_closed,5.5
eyes_closed,3.51
eyes_closed,3.06
eyes_closed,3.97
eyes_closed,5.8
eyes_closed,7.79
eyes_closed,9.01
eyes_closed,9.01
eyes_closed,7.48
eyes_closed,4.89
eyes_closed,1.83
eyes_closed,-1.52
eyes_closed,-4.88
eyes_closed,-8.08
eyes_closed,-11.14
eyes_closed,-14.03
eyes_closed,-16.78
eyes_closed,-19.38
eyes_closed,-21.51
eyes_closed,-23.5
eyes_closed,-25.94
eyes_closed,-28.99
eyes_closed,-32.8
eyes_closed,-36.77
eyes_closed,-40.13
eyes_closed,-41.96
eyes_closed,-41.35
eyes_closed,-37.38
eyes_closed,-30.97
eyes_closed,-23.04
eyes_closed,-15.1
eyes_closed,-8.39
eyes_closed,-3.66
eyes_closed,-1.06
eyes_closed,0.31
eyes_closed,1.22
eyes_closed,2.75
eyes_closed,5.04
eyes_closed,7.79
eyes_closed,10.23
eyes_closed,11.91
eyes_closed,12.06
eyes_closed,10.99
eyes_closed,9.31
eyes_closed,8.09
eyes_closed,7.63
eyes_closed,8.24
eyes_closed,9.77
eyes_closed,11.6
eyes_closed,12.67
eyes_closed,13.13
eyes_closed,12.67
eyes_closed,11.91
eyes_closed,11.6
eyes_closed,12.52
eyes_closed,14.5
eyes_closed,17.7
eyes_closed,20.91
eyes_closed,23.65
eyes_closed,25.18
eyes_closed,25.49
eyes_closed,24.88
eyes_closed,23.81
eyes_closed,22.89
eyes_closed,22.74
eyes_closed,23.2
eyes_closed,23.65
eyes_closed,23.65
eyes_closed,22.59
eyes_closed,20.15
eyes_closed,16.48
eyes_closed,12.36
eyes_closed,7.94
eyes_closed,4.12
eyes_closed,1.07
eyes_closed,-1.37
eyes_closed,-3.51
eyes_closed,-5.79
eyes_closed,-8.08
eyes_closed,-10.53
eyes_closed,-12.81
eyes_closed,-14.64
eyes_closed,-15.87
eyes_closed,-16.17
eyes_closed,-16.02
eyes_closed,-15.26
eyes_closed,-14.03
eyes_closed,-12.81
eyes_closed,-11.29
eyes_closed,-9.61
eyes_closed,-7.32
eyes_closed,-4.73
eyes_closed,-1.83
eyes_closed,1.22
eyes_closed,4.12
eyes_closed,6.72
eyes_closed,9.01
eyes_closed,11.14
eyes_closed,13.43
eyes_closed,15.87
eyes_closed,18.77
eyes_closed,21.67
eyes_closed,24.11
eyes_closed,25.49
eyes_closed,25.49
eyes_closed,23.96
eyes_closed,21.37
eyes_closed,18.16
eyes_closed,15.11
eyes_closed,13.28
eyes_closed,12.36
eyes_closed,12.82
